name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Ralph Norman,Politician,1,Elaine Rice,45,True,Unknown
James Clyburn,Politician,1,Emily England,58,False,Unknown
Tom Rice,Politician,1,Wrenzie Calhoun,39,True,Unknown
Dusty Johnson,Politician,1,Jacquelyn Dice,22,True,Unknown
Tim Burchett,Politician,1,Allison Beaver,4,False,Unknown
Tim Burchett,Politician,2,Kelly Kimball,7,True,Unknown
Jim Cooper,Politician,1,Martha Hayes,36,False,Unknown
Louis Gohmert,Politician,1,Kathy Gohmert,43,True,Unknown
Daniel Crenshaw,Politician,1,Tara Blake,8,True,Politician
Van Taylor,Politician,1,Anne Coolidge,17,True,Unknown
Lance Gooden,Politician,1,Alexa Calligas,5,True,Unknown
Lizzie Pannill Fletcher,Politician,1,Scott Fletcher,14,True,Unknown
Kevin Brady,Politician,1,Cathy Patronella,30,True,Unknown
Pete Sessions,Politician,1,Juanita Diaz,27,False,Unknown
Pete Sessions,Politician,2,Karen Diebel,9,True,Unknown
Jodey Arrington,Politician,1,Nicole Reilly,4,False,Unknown
Jodey Arrington,Politician,2,Priscilla Jones,5,False,Unknown
Jodey Arrington,Politician,3,Anne Meyer,13,True,Unknown
Joaquin Castro,Politician,1,Anna Flores,8,True,Unknown
Chip Roy,Politician,1,Carrah Key,17,True,Unknown
Troy Nehls,Politician,1,Jill Broxson,12,True,Unknown
Beth Van Duyne,Politician,1,Casey Wallach,17,False,Unknown
Michael Cloud,Politician,1,Rosel Cloud,22,True,Unknown
Eddie Bernice Johnson,Politician,1,Lacey Johnson,14,False,Unknown
Colin Allred,Politician,1,Alexandra Eber,4,True,Unknown
Lloyd Doggett,Politician,1,Libby Belk,52,True,Unknown
Brian Babin,Unknown,1,Roxanne Babin,49,True,Unknown
Blake Moore,Politician,1,Jane Boyer,11,True,Unknown
Burgess Owens,Politician,1,Josie Owens,34,False,Unknown
Peter Welch,Politician,1,Joan Smith,18,False,Unknown
Peter Welch,Politician,2,Margaret Cheney,12,True,Unknown
Elaine Luria,Politician,1,Robert Blondin,16,True,Unknown
Aston Donald McEachin,Politician,1,Colette McEachin,35,True,Unknown
Bob Good,Politician,1,Tracey Good,33,True,Unknown
Benjamin Lee Cline,Politician,1,Elizabeth Rocovich,14,True,Unknown
Donald Sternoff Beyer,Politician,1,Carolyn McInerney,14,False,Unknown
Donald Sternoff Beyer,Politician,2,Megan Carroll,34,True,Unknown
Jennifer Wexton,Politician,1,Andrew Wexton,20,True,Unknown
Suzan DelBene,Politician,1,Kurt DelBene,24,True,Unknown
Rick Larsen,Politician,1,Tiia Karlen,27,True,Unknown
Jaime Herrera Beutler,Politician,1,Daniel Beutler,13,True,Unknown
Dan Newhouse,Politician,1,Carol Newhouse,35,False,Unknown
Dan Newhouse,Politician,2,Joan Galvin,3,True,Unknown
Cathy McMorris Rodgers,Politician,1,Brian Rodgers,15,True,Unknown
Alexander Mooney,Politician,1,Grace Gonzalez,19,True,Unknown
Mark Pocan,Politician,1,Philip Frank,15,True,Unknown
Ronald James Kind,Politician,1,Tawni Zappa,27,True,Unknown
Liz Cheney,Politician,1,Philip Perry,28,True,Politician
Ricardo Rosselló,Politician,1,Natasha Marie Cervi,2,False,Unknown
Ricardo Rosselló,Politician,2,Beatriz Areizaga,9,True,Unknown
F. Murray Abraham,Unknown,1,Kate Hannan,59,True,Unknown
Amy Adams,Unknown,1,Darren Le Gallo,6,True,Unknown
Casey Affleck,Unknown,1,Summer Phoenix,11,False,Unknown
Shohreh Aghdashloo,Unknown,1,Aydin Aghdashloo,7,False,Unknown
Shohreh Aghdashloo,Unknown,2,Houshang Touzie,34,True,Unknown
Riz Ahmed,Unknown,1,Fatima Farheen Mirza,1,True,Unknown
Anouk Aimée,Unknown,1,Edouard Zimmermann,1,False,Unknown
Anouk Aimée,Unknown,2,Nikos Papatakis,3,False,Unknown
Anouk Aimée,Unknown,3,Pierre Barouh,3,False,Unknown
Anouk Aimée,Unknown,4,Albert Finney,8,False,Unknown
Alan Alda,Unknown,1,Arlene Weiss Alda,64,True,Unknown
Jane Alexander,Unknown,1,Robert Alexander,12,False,Unknown
Jane Alexander,Unknown,2,Edwin Sherin,42,False,Unknown
Mahershala Ali,Unknown,1,Amatus Sami-Karim,8,True,Unknown
Joan Allen,Unknown,1,Peter Friedman,12,False,Unknown
Woody Allen,Unknown,1,Harlene Susan Rosen,6,False,Unknown
Woody Allen,Unknown,2,Louise Lasser,4,False,Unknown
Woody Allen,Unknown,3,Soon-Yi Previn,24,True,Unknown
Julie Andrews,Unknown,1,Tony Walton,8,False,Unknown
Julie Andrews,Unknown,2,Blake Edwards,41,False,Unknown
Ann-Margret,Unknown,1,Roger Smith,50,False,Unknown
Anne Archer,Unknown,1,William Davis,8,False,Unknown
Anne Archer,Unknown,2,Terry Jastrow,42,True,Unknown
Patricia Arquette,Unknown,1,Nicolas Cage,6,False,Unknown
Patricia Arquette,Unknown,2,Thomas Jane,5,False,Unknown
Margaret Avery,Unknown,1,Robert Gordon Hunt,6,False,Unknown
Dan Aykroyd,Unknown,1,Donna Dixon,38,True,Unknown
Mary Badham,Unknown,1,Richard Wilt,46,True,Unknown
Carroll Baker,Unknown,1,Louie Ritter,0,False,Unknown
Carroll Baker,Unknown,2,Jack Garfein,14,False,Unknown
